-15,-15671,-15433,-238
-40,-36561,-36209,-352
-26,2483,2570,-87
14,81461,81646,-186
12,37640,37867,-227
-14,-71802,-71544,-258
-6,-67590,-67420,-170
8,35814,35885,-71
29,59067,58903,164
3,-16416,-16530,114
-30,-69103,-69163,61
-20,-30221,-30170,-52
-20,50202,50328,-126
-16,20373,20574,-201
6,-12628,-12347,-282
15,10611,10650,-39
13,-14257,-14244,-14
5,-34468,-34465,-3
-23,-30386,-30337,-50
-24,-16090,-16021,-69
-17,20227,20398,-171
5,42771,42896,-124
28,20651,20795,-143
17,-10582,-10554,-29
-9,-61616,-61541,-75
-14,-37883,-37915,31
11,49636,49417,219
36,78947,78610,337
4,-5725,-5940,214
5,-58482,-58787,304
0,-2748,-2986,238
3,49199,48958,241
-17,-11316,-11263,-54
-21,-18151,-18023,-128
-1,10763,10894,-131
23,54068,54086,-18
19,7352,7359,-7
4,-46069,-46112,43
-27,-54624,-54625,1
-41,-22591,-22494,-97
-20,26238,26339,-100
17,71489,71621,-133
43,42886,43081,-194
44,-19794,-19976,182
6,-66126,-65839,-288
-25,-61599,-62091,492
-9,23153,23301,-148
-10,79157,78779,378
0,28098,28120,-23
9,-15036,-15094,58
-5,-11398,-11305,-93
-16,-40082,-39726,-356
-31,-30647,-30007,-640
-28,-341,-28,-312
-6,19800,19931,-131
-6,11410,11675,-265
2,-27385,-27271,-114
-11,-41965,-41803,-161
-29,-36708,-36589,-119
-1,-7774,-7842,68
14,50246,50188,58
17,16873,16835,38
16,-38783,-38770,-13
-6,-26756,-26800,44
5,-742,-929,187
1,27348,27283,64
15,34417,34226,191
-1,-8681,-8684,3
-23,-29007,-28925,-82
-10,-20122,-20058,-64
-13,33587,33715,-127
8,24054,24128,-74
21,3667,3735,-68
-2,-14580,-14522,-58
-19,-62683,-62544,-139
0,-419,-485,66
7,59459,59421,39
-2,5372,5470,-98
-9,-44611,-44466,-145
8,3928,3882,45
-2,20724,20766,-42
-2,-9400,-9408,9
3,-12531,-12508,-23
1,17258,17188,70
1,-4065,-4099,33
16,9480,9274,206
10,15870,15588,282
0,-12673,-12971,298
14,-3995,-4390,395
4,27038,26713,325
0,2207,1977,230
-3,-13648,-13743,95
-23,-3065,-2985,-80
-3,1258,1370,-113
1,26334,26567,-234
0,8579,8788,-209
-17,-49916,-49531,-385
-22,-28783,-28538,-245
-9,5331,5589,-258
12,39292,39523,-231
29,22925,23047,-122
27,-9669,-9799,130
14,-29830,-30075,244
13,-8286,-8639,353
3,22481,22302,179
14,34570,34421,148
13,28228,28238,-10
14,18131,18098,32
0,-12078,-11988,-90
-24,-19845,-19837,-8
-39,-27231,-27290,59
-13,23916,23791,125
22,68082,68092,-11
16,15747,15922,-174
8,-64618,-64556,-62
-20,-62228,-61996,-232
0,11619,11538,82
2,44277,44275,2
11,32173,32054,119
-1,-30097,-30089,-8
-6,-18497,-18532,35
8,4495,4403,92
29,51933,51539,394
32,29046,28563,483
8,-27325,-27705,381
-22,-52786,-53191,405
-32,-13676,-13839,163
-22,40676,40633,43
5,54495,54390,104
-2,3645,3797,-152
1,-43623,-43587,-35
0,-33155,-33104,-50
7,14646,14566,80
15,11854,11699,154
7,3304,3187,117
-16,-31587,-31516,-71
-18,-23224,-23095,-129
-10,22754,22850,-95
-4,30711,30863,-153
-14,-19272,-18962,-310
-9,-31036,-30837,-198
17,13845,13853,-8
21,34114,34003,111
12,-18648,-18711,63
12,-30280,-30420,140
-7,-314,-486,171
-27,-12443,-12417,-27
-10,4393,4414,-21
-15,33840,33930,-90
5,12685,12840,-155
-7,-25612,-25298,-314
10,-7708,-7696,-13
4,-10627,-10600,-28
9,9463,9364,99
5,-12989,-13036,47
-11,-4697,-4688,-9
-26,-29708,-29511,-197
-15,2681,2781,-100
5,40969,41031,-62
31,39462,39506,-44
18,-14428,-14340,-88
-22,-71658,-71541,-116
-17,-45569,-45608,39
-5,52905,52804,101
23,74058,73970,88
10,-4737,-4734,-3
-13,-57028,-57027,-1
-36,-63746,-63447,-299
-27,11453,11826,-373
-4,48420,48919,-499
-5,18837,19433,-596
-10,-48008,-47577,-431
-22,-55663,-55627,-36
-26,-22077,-22259,182
-23,-7638,-7755,117
6,21692,21631,61
32,32571,32567,4
25,-3968,-3865,-104
-4,-68461,-68318,-143
3,-30543,-30623,80
-1,41178,40969,209
-21,17287,17267,20
-19,-29791,-29455,-337
-18,5591,5830,-240
15,37638,37662,-25
40,35745,35706,39
6,-20630,-20696,66
2,-73338,-73329,-9
-13,-12162,-12303,141
-14,38867,38693,174
-14,4847,5048,-201
5,24628,24688,-60
-3,1220,1340,-120
-10,-29433,-29279,-155
-25,-45849,-45537,-312
-29,-14059,-13816,-243
-30,-7744,-7569,-174
-3,15931,15997,-66
6,11701,11837,-136
27,-1481,-1424,-58
1,-41820,-41761,-59
1,-35268,-35282,15
